id_transaksi,id_pelanggan,kategori,channel,kuantitas,harga_satuan,diskon,total_nilai,berat_kg,segmen
5d89b3ce,usr-0035,otomotif,mobile,18,998757.5,0.199,14399787.01,9.4,tinggi
3a898448,usr-0054,makanan,mobile,4,117802.09,0.047,449233.84,2.89,menengah
5a09f75c,usr-0065,olahraga,atm,7,665622.85,0.256,3467151.59,5.1,tinggi
a8c8e3c7,usr-0034,elektronik,mobile,14,1286685.11,0.013,17775343.29,3.4,tinggi
51333690,usr-0003,olahraga,atm,6,705923.18,0.166,3534539.89,4.33,tinggi
4752058e,usr-0038,elektronik,mobile,5,931987.86,0.25,3493190.67,5.87,tinggi
d307cfd3,usr-0011,kesehatan,web,2,190596.88,0.27,278387.92,7.98,menengah
08ad370a,usr-0105,makanan,web,8,108366.68,0.106,774948.66,5.64,menengah
02974a5c,usr-0106,otomotif,web,8,2129211.39,0.293,12045173.52,8.13,tinggi
721bdda0,usr-0189,elektronik,web,11,1227983.12,0.124,11839410.82,6.73,tinggi
20d17b2b,usr-0121,fashion,atm,6,493687.25,0.032,2866065.75,8.73,tinggi
4759d17c,usr-0058,fashion,web,15,274829.21,0.246,3107655.03,8.73,tinggi
f2b69047,usr-0072,elektronik,web,13,660327.44,0.259,6358308.45,9.67,tinggi
5058d464,usr-0067,makanan,teller,18,66393.73,0.008,1185191.69,8.78,tinggi
a9fe242d,usr-0081,fashion,atm,2,154201.27,0.13,268196.38,7.31,menengah
fa247cca,usr-0112,kesehatan,mobile,13,412314.27,0.057,5054434.02,0.54,tinggi
c57c89e3,usr-0160,elektronik,web,12,789121.75,0.285,6773862.01,9.22,tinggi
ceb508ec,usr-0179,makanan,mobile,10,88390.31,0.2,707062.51,3.33,menengah
3d811fe2,usr-0045,makanan,web,7,77555.79,0.282,389736.18,6.81,menengah
1a5f8781,usr-0111,otomotif,atm,13,1495874.43,0.0,19443999.33,2.94,tinggi
551091ca,usr-0189,otomotif,atm,15,1283572.03,0.203,15351107.51,5.16,tinggi
d211154e,usr-0193,fashion,mobile,10,357726.0,0.19,2898001.84,3.42,tinggi
2d3a7f42,usr-0122,fashion,atm,8,503281.45,0.044,3848266.34,0.56,tinggi
b6e5d240,usr-0179,otomotif,mobile,15,1228882.02,0.189,14950647.23,2.02,tinggi
a3f996ed,usr-0193,kesehatan,teller,13,166494.16,0.197,1738427.8,0.15,tinggi
3b595685,usr-0013,elektronik,teller,8,469858.35,0.287,2678606.79,5.23,tinggi
12da84d2,usr-0144,otomotif,web,4,1312923.65,0.24,3989056.03,6.71,tinggi
1461d1c8,usr-0141,otomotif,atm,15,1625304.65,0.216,19118892.78,5.1,tinggi
cc2946c0,usr-0071,kesehatan,web,16,243776.16,0.226,3020745.31,8.41,tinggi
7001273a,usr-0070,otomotif,teller,8,949194.89,0.023,7417046.82,2.93,tinggi
74b4b4d1,usr-0040,makanan,atm,18,35072.21,0.045,602733.92,3.89,menengah
10821d0d,usr-0016,olahraga,web,3,461150.92,0.099,1246125.13,4.71,tinggi
90e939ee,usr-0196,fashion,teller,13,552419.24,0.175,5923088.96,6.99,tinggi
09705c3b,usr-0108,otomotif,teller,16,411792.17,0.106,5893387.38,7.56,tinggi
21406039,usr-0087,otomotif,web,16,838843.27,0.131,11666621.55,0.39,tinggi
e9227684,usr-0137,olahraga,teller,6,780379.25,0.276,3390611.33,9.81,tinggi
a51db491,usr-0035,elektronik,teller,19,955489.98,0.008,18006703.91,6.46,tinggi
3514fcdd,usr-0087,kesehatan,web,2,172558.62,0.098,311224.72,4.6,menengah
9261d181,usr-0139,kesehatan,atm,14,169601.82,0.025,2316081.47,0.29,tinggi
eb3b3cd5,usr-0194,elektronik,atm,8,1062680.12,0.234,6508958.94,6.55,tinggi
16e0fffa,usr-0122,elektronik,web,7,1299036.06,0.186,7398263.82,2.46,tinggi
db51f4c5,usr-0095,olahraga,mobile,19,860817.77,0.14,14073773.33,2.64,tinggi
d132d0d2,usr-0080,fashion,mobile,6,582360.39,0.032,3380847.95,0.35,tinggi
5f6e14d0,usr-0161,otomotif,teller,13,2282941.2,0.059,27912412.21,5.96,tinggi
faa9d179,usr-0145,fashion,mobile,10,525146.62,0.18,4305553.81,1.3,tinggi
312192a7,usr-0088,elektronik,atm,18,785472.52,0.111,12566709.81,5.11,tinggi
60244269,usr-0118,elektronik,teller,16,381923.59,0.288,4349429.72,6.39,tinggi
34643a2a,usr-0158,olahraga,web,14,282102.72,0.157,3331256.15,6.54,tinggi
93607d4f,usr-0063,otomotif,teller,15,1271148.99,0.219,14885640.25,2.76,tinggi
13a28b6f,usr-0098,elektronik,atm,15,554829.3,0.139,7162187.06,6.14,tinggi
5ccd6787,usr-0067,makanan,mobile,16,131369.1,0.055,1987242.6,2.2,tinggi
b0f2a249,usr-0049,makanan,atm,20,112647.97,0.083,2066232.81,0.2,tinggi
daf0af97,usr-0166,elektronik,web,14,860722.31,0.227,9309321.55,6.94,tinggi
d58ad8cf,usr-0178,olahraga,teller,15,744699.65,0.028,10858659.18,2.29,tinggi
fe831925,usr-0191,fashion,atm,19,284510.23,0.166,4508122.6,3.5,tinggi
24dfb38e,usr-0031,otomotif,atm,12,1805709.88,0.081,19907411.32,2.59,tinggi
6120225c,usr-0048,olahraga,web,11,239666.06,0.161,2212512.89,7.65,tinggi
082db149,usr-0153,fashion,web,16,238249.81,0.177,3137745.96,7.63,tinggi
0763ee5c,usr-0182,makanan,mobile,7,62030.81,0.108,387205.59,3.09,menengah
802a9bbe,usr-0033,otomotif,web,9,491031.4,0.016,4346992.85,2.99,tinggi
9b152b44,usr-0113,olahraga,teller,4,804539.8,0.172,2663930.19,4.75,tinggi
0b2dabe1,usr-0017,makanan,web,2,56559.8,0.259,83876.27,1.23,rendah
7f9dac2a,usr-0145,kesehatan,teller,3,291382.93,0.206,694130.7,1.6,menengah
fa0ba2a7,usr-0159,makanan,mobile,8,39806.45,0.229,245420.1,6.1,menengah
fd788d2b,usr-0110,fashion,teller,15,554252.19,0.089,7572144.02,5.93,tinggi
9ca18bbb,usr-0161,makanan,mobile,20,145013.6,0.03,2813930.64,7.65,tinggi
1d343f1e,usr-0001,fashion,atm,3,178528.55,0.052,507658.03,0.84,menengah
c590bdbc,usr-0073,kesehatan,teller,20,251217.18,0.01,4975145.44,2.95,tinggi
2aedc658,usr-0161,olahraga,teller,3,665538.69,0.277,1443207.38,7.9,tinggi
65d56428,usr-0069,otomotif,web,14,629552.6,0.067,8219313.09,1.57,tinggi
c82d0299,usr-0146,fashion,mobile,2,182961.39,0.092,332154.14,7.51,menengah
2c91a88a,usr-0070,makanan,teller,4,83587.25,0.091,303847.21,4.08,menengah
bce4007e,usr-0083,otomotif,teller,15,560883.7,0.012,8312647.87,4.38,tinggi
c93f8d0f,usr-0148,otomotif,atm,1,582653.77,0.289,414515.43,8.38,menengah
360a2814,usr-0133,otomotif,mobile,9,1552493.97,0.229,10773695.98,1.83,tinggi
2fa0fda8,usr-0126,olahraga,teller,9,286116.86,0.176,2122875.52,6.38,tinggi
efd24b51,usr-0042,elektronik,teller,12,760435.12,0.096,8246303.1,1.14,tinggi
d9c9706c,usr-0141,makanan,teller,16,61027.22,0.284,699559.41,8.15,menengah
c4b3c565,usr-0104,elektronik,teller,3,643146.45,0.097,1742318.19,9.7,tinggi
7b2ec003,usr-0160,otomotif,mobile,18,1323952.69,0.016,23443624.74,5.23,tinggi
6e1c37f6,usr-0113,kesehatan,teller,2,151334.34,0.165,252799.2,9.28,menengah
f828dd10,usr-0182,olahraga,teller,4,171652.08,0.189,556834.76,8.01,menengah
0083d47c,usr-0030,fashion,atm,18,106837.23,0.122,1687691.76,2.32,tinggi
ca55cb72,usr-0070,kesehatan,mobile,5,261890.81,0.215,1027946.33,5.14,tinggi
4b1604c8,usr-0154,kesehatan,teller,16,166399.09,0.165,2222081.4,3.9,tinggi
f120b7b9,usr-0130,otomotif,web,3,952494.81,0.237,2180255.31,4.21,tinggi
9ba0928d,usr-0169,makanan,mobile,10,115756.37,0.251,866734.2,5.84,menengah
5e8d0eb4,usr-0140,kesehatan,web,15,276967.72,0.104,3724368.89,5.56,tinggi
92677ff1,usr-0099,kesehatan,teller,11,401100.63,0.294,3113922.18,2.46,tinggi
fc5a46b6,usr-0098,fashion,teller,2,259088.16,0.142,444650.8,9.14,menengah
14eba876,usr-0085,kesehatan,web,16,436809.16,0.038,6724248.1,9.66,tinggi
8e88b010,usr-0105,elektronik,teller,4,907438.86,0.137,3132194.29,7.25,tinggi
4a69e78c,usr-0178,olahraga,web,3,502117.95,0.291,1068364.77,3.45,tinggi
3c90dd7f,usr-0082,kesehatan,mobile,11,394628.0,0.258,3221810.4,3.86,tinggi
2af8968e,usr-0074,olahraga,teller,18,176924.32,0.021,3119269.26,6.35,tinggi
d2965c0b,usr-0026,fashion,mobile,14,589168.86,0.228,6366822.27,7.07,tinggi
d2611778,usr-0076,kesehatan,web,10,413784.02,0.014,4080749.25,7.98,tinggi
dceeee3b,usr-0047,makanan,atm,14,43196.22,0.159,508380.75,5.7,menengah
0e99896b,usr-0128,fashion,web,3,404745.89,0.115,1074887.77,6.86,tinggi
aeeaf2d3,usr-0003,otomotif,web,8,1322299.83,0.076,9772396.55,2.63,tinggi
327d45c9,usr-0151,kesehatan,atm,18,134240.86,0.133,2096125.25,3.52,tinggi
b94fe011,usr-0124,makanan,teller,9,82104.48,0.091,671965.33,9.99,menengah
f2a80461,usr-0076,elektronik,web,13,964903.37,0.172,10380655.68,9.93,tinggi
0149ff2a,usr-0013,elektronik,teller,9,260122.46,0.26,1733538.78,7.81,tinggi
f852eb97,usr-0057,otomotif,teller,10,1951481.96,0.069,18167603.93,8.04,tinggi
f295f10f,usr-0175,olahraga,web,20,337970.1,0.227,5227226.74,7.7,tinggi
5754bbaa,usr-0188,fashion,mobile,2,254466.44,0.132,441628.06,5.84,menengah
54ae6135,usr-0139,fashion,mobile,10,263359.56,0.125,2305315.49,2.09,tinggi
457ffe31,usr-0076,makanan,atm,6,57121.26,0.247,257934.38,4.87,menengah
10c9f32c,usr-0058,olahraga,atm,4,501248.54,0.023,1959701.73,7.57,tinggi
2e632531,usr-0138,olahraga,teller,18,424331.29,0.237,5826203.24,0.24,tinggi
7342e875,usr-0164,elektronik,teller,12,1091035.48,0.202,10451654.14,5.89,tinggi
6467ecb3,usr-0084,makanan,mobile,8,83934.61,0.186,546673.45,9.44,menengah
ec054316,usr-0167,otomotif,web,3,1670807.84,0.139,4314291.88,7.04,tinggi
8af03801,usr-0030,kesehatan,mobile,5,92005.05,0.011,454889.71,9.96,menengah
fc5dd15a,usr-0191,elektronik,web,18,419580.06,0.136,6524605.77,6.74,tinggi
6ae44eb9,usr-0026,olahraga,teller,19,706701.76,0.046,12804884.3,4.21,tinggi
75273488,usr-0061,kesehatan,teller,9,87268.61,0.111,698111.26,4.49,menengah
acb29965,usr-0102,makanan,mobile,12,93058.23,0.293,789112.12,3.65,menengah
59b57276,usr-0055,makanan,web,4,143626.35,0.247,432454.73,1.01,menengah
fa42c252,usr-0145,olahraga,mobile,2,740095.94,0.073,1372033.27,1.35,tinggi
7e3efd50,usr-0085,fashion,mobile,18,203578.69,0.065,3427015.63,8.71,tinggi
a5278842,usr-0065,fashion,mobile,9,529203.06,0.043,4556090.4,1.39,tinggi
c95c5f00,usr-0151,fashion,mobile,1,165901.61,0.107,148071.72,7.91,menengah
6b5d3585,usr-0030,makanan,mobile,6,58170.94,0.038,335753.04,4.27,menengah
7941e21e,usr-0116,olahraga,mobile,16,486206.41,0.109,6934379.36,5.98,tinggi
e3146b25,usr-0134,otomotif,web,20,486730.07,0.235,7447280.67,8.68,tinggi
a3352d07,usr-0176,makanan,teller,1,32603.18,0.144,27918.28,4.08,rendah
43fa2761,usr-0017,elektronik,teller,15,341863.39,0.024,5003664.04,6.12,tinggi
3b69bce2,usr-0153,fashion,atm,20,416538.36,0.165,6960298.3,3.32,tinggi
29e5d73e,usr-0030,otomotif,atm,15,1411102.15,0.129,18434783.87,7.95,tinggi
855c393c,usr-0117,olahraga,web,14,488666.19,0.069,6372366.87,3.46,tinggi
fe29792e,usr-0040,kesehatan,teller,4,192205.63,0.094,696739.98,2.62,menengah
290bb6ee,usr-0191,olahraga,teller,3,218418.59,0.026,638475.13,4.38,menengah
0ea47665,usr-0085,olahraga,atm,5,567278.05,0.176,2337357.1,5.66,tinggi
4bbdcb1a,usr-0185,olahraga,mobile,14,415198.56,0.2,4652536.45,7.53,tinggi
7f438d7d,usr-0040,elektronik,atm,20,640561.12,0.031,12413047.51,5.12,tinggi
2bbaf0a9,usr-0030,olahraga,teller,8,785456.14,0.105,5623651.04,5.61,tinggi
a3c06201,usr-0158,makanan,web,14,130644.4,0.292,1294281.52,8.2,tinggi
6c1eee86,usr-0047,olahraga,mobile,20,846813.22,0.249,12721874.2,2.75,tinggi
64c79c43,usr-0169,makanan,atm,11,68877.93,0.054,716424.24,1.52,menengah
31ea2daf,usr-0136,kesehatan,mobile,5,352863.4,0.292,1249942.55,1.01,tinggi
390ae404,usr-0084,fashion,teller,14,326822.9,0.047,4359451.72,3.19,tinggi
2b246008,usr-0021,otomotif,mobile,2,711159.81,0.226,1100404.93,0.59,tinggi
a5006d14,usr-0194,makanan,teller,14,85707.71,0.133,1040784.28,2.8,tinggi
468c1bab,usr-0125,otomotif,mobile,12,1259827.27,0.085,13833297.35,6.82,tinggi
05594273,usr-0053,otomotif,atm,2,841036.87,0.295,1185300.68,0.64,tinggi
8b6d11b2,usr-0128,makanan,web,5,120520.11,0.087,550274.26,1.29,menengah
95c18069,usr-0144,olahraga,teller,6,246889.28,0.16,1244655.69,2.38,tinggi
8ae0fd0e,usr-0118,olahraga,atm,3,447803.38,0.223,1044350.39,4.42,tinggi
e03404dc,usr-0075,elektronik,atm,19,786605.36,0.121,13132210.92,6.44,tinggi
8411131f,usr-0118,elektronik,teller,1,1457749.61,0.052,1382585.2,9.48,tinggi
d481d99b,usr-0103,olahraga,atm,3,477533.83,0.032,1387103.6,4.41,tinggi
4fb6e483,usr-0200,otomotif,mobile,13,2141048.83,0.224,21606097.06,2.29,tinggi
4340057d,usr-0199,fashion,mobile,17,416612.33,0.159,5955021.46,2.02,tinggi
d75fe988,usr-0155,makanan,atm,5,54533.61,0.044,260688.83,2.05,menengah
39915e02,usr-0145,fashion,mobile,6,575646.07,0.188,2803219.18,4.69,tinggi
d42e9027,usr-0161,otomotif,teller,19,1685983.66,0.296,22553012.12,3.3,tinggi
9364e679,usr-0071,makanan,web,15,33535.78,0.133,436302.66,3.1,menengah
28ee729a,usr-0015,otomotif,mobile,12,1414673.77,0.093,15395232.21,4.57,tinggi
5d3e938e,usr-0153,makanan,atm,3,105583.31,0.293,223875.5,0.99,menengah
0e8e5ccb,usr-0011,otomotif,teller,15,1560658.81,0.286,16708348.28,7.42,tinggi
f7afa37a,usr-0116,kesehatan,web,11,301877.19,0.15,2821189.61,9.58,tinggi
68473095,usr-0113,elektronik,atm,3,880686.25,0.052,2505285.52,2.55,tinggi
2dd8c329,usr-0087,kesehatan,web,12,214819.49,0.085,2359058.12,4.15,tinggi
5b5da722,usr-0073,olahraga,mobile,11,199433.89,0.028,2131575.42,6.82,tinggi
d22c27d5,usr-0080,makanan,web,11,35187.75,0.199,310006.88,9.18,menengah
db954513,usr-0097,olahraga,teller,5,596280.92,0.281,2142435.38,3.16,tinggi
d2b175df,usr-0176,olahraga,atm,5,652587.3,0.249,2451484.35,7.41,tinggi
d83cb0ac,usr-0055,otomotif,mobile,14,1416976.97,0.005,19729182.16,3.16,tinggi
125aa13f,usr-0026,makanan,teller,7,53317.88,0.041,357822.31,0.86,menengah
b55a62ba,usr-0040,otomotif,mobile,11,2152785.55,0.185,19290026.62,6.01,tinggi
27fd00a3,usr-0106,fashion,web,20,504521.86,0.05,9589328.43,4.43,tinggi
2a5d9574,usr-0060,makanan,web,15,101324.43,0.226,1176806.2,7.86,tinggi
f2791150,usr-0050,otomotif,web,10,2331193.27,0.235,17826376.86,9.05,tinggi
bc2eab32,usr-0108,makanan,teller,15,121179.82,0.233,1393379.1,5.08,tinggi
6e94296b,usr-0096,fashion,web,20,169199.27,0.075,3130183.18,6.45,tinggi
f795f983,usr-0070,otomotif,mobile,17,2102332.1,0.086,32683230.3,7.65,tinggi
bca4e60d,usr-0090,kesehatan,web,14,109392.59,0.273,1113165.77,8.19,tinggi
9acf5e29,usr-0021,elektronik,teller,2,745567.46,0.112,1323846.8,3.92,tinggi
e79782bd,usr-0086,makanan,web,1,64835.61,0.03,62908.38,7.18,rendah
9bea3b55,usr-0036,fashion,web,2,243439.7,0.249,365681.25,6.99,menengah
da588a66,usr-0056,olahraga,teller,15,611511.19,0.272,6679928.92,0.29,tinggi
16c365a3,usr-0062,fashion,teller,4,488086.32,0.071,1813158.53,1.31,tinggi
3f1acbbb,usr-0005,kesehatan,teller,3,116571.71,0.272,254752.06,6.01,menengah
e13c04fb,usr-0147,olahraga,web,5,368453.99,0.0,1841405.38,3.59,tinggi
d1205f09,usr-0140,kesehatan,web,3,271306.71,0.108,725869.33,9.54,menengah
cf96b962,usr-0096,otomotif,mobile,13,2146662.88,0.013,27542147.84,3.93,tinggi
ca30c73f,usr-0161,makanan,mobile,12,123565.0,0.103,1329400.15,7.36,tinggi
3843e503,usr-0045,elektronik,atm,5,305419.61,0.164,1276953.09,8.15,tinggi
dcbec374,usr-0199,olahraga,teller,16,623801.89,0.243,7551004.01,0.72,tinggi
3da5326b,usr-0081,kesehatan,mobile,10,150596.62,0.237,1148551.1,8.87,tinggi
390e46fc,usr-0074,makanan,teller,18,84174.97,0.011,1498503.69,6.5,tinggi
5839cde8,usr-0103,makanan,mobile,11,59152.08,0.24,494639.72,4.43,menengah
e24f8490,usr-0095,olahraga,teller,13,404277.47,0.056,4961055.76,6.95,tinggi
175e30b0,usr-0047,otomotif,atm,3,1854162.65,0.024,5430778.79,6.06,tinggi
31fd0071,usr-0115,otomotif,atm,11,605195.82,0.098,6002249.98,3.03,tinggi
5b592999,usr-0091,otomotif,teller,6,1779529.62,0.105,9551118.82,0.52,tinggi
05b4db92,usr-0172,otomotif,teller,9,1678938.62,0.237,11522572.31,0.67,tinggi
ec5b2c62,usr-0008,olahraga,teller,12,534814.51,0.225,4973971.4,1.68,tinggi
1480246a,usr-0093,fashion,teller,2,163115.01,0.071,303133.39,6.49,menengah
9c6a4a31,usr-0114,kesehatan,mobile,20,132539.31,0.135,2292991.66,3.77,tinggi
4e61e1d6,usr-0030,elektronik,web,17,708687.44,0.094,10911401.25,2.86,tinggi
1f75f483,usr-0199,elektronik,web,16,897181.59,0.274,10420760.59,1.27,tinggi
5f89388e,usr-0126,makanan,teller,7,149545.64,0.086,957135.24,9.17,menengah
5b438a9e,usr-0114,fashion,mobile,5,526413.15,0.136,2275123.91,9.0,tinggi
c93f1d96,usr-0077,elektronik,atm,12,1136925.61,0.165,11392006.27,2.97,tinggi
26d19f8c,usr-0036,fashion,web,12,354377.87,0.036,4097705.06,2.09,tinggi
8d9cb049,usr-0142,fashion,teller,1,280448.26,0.172,232300.0,4.73,menengah
dd1f8f5d,usr-0135,fashion,mobile,3,254645.36,0.3,534848.06,7.22,menengah
db13c8b0,usr-0116,kesehatan,teller,19,102656.52,0.292,1381493.46,6.46,tinggi
29891dc1,usr-0047,kesehatan,atm,5,404235.06,0.234,1548060.84,6.43,tinggi
e2f0ace7,usr-0040,fashion,teller,17,555356.14,0.017,9284107.59,1.33,tinggi
e794aeaa,usr-0133,makanan,web,6,65332.59,0.213,308579.05,3.53,menengah
2b9c3ccd,usr-0161,makanan,mobile,9,49537.74,0.287,317925.81,2.82,menengah
6d7f9d49,usr-0044,makanan,mobile,17,105123.43,0.178,1469812.33,5.85,tinggi
9a21187b,usr-0165,olahraga,atm,19,180895.73,0.259,2546369.16,0.9,tinggi
7b2189e9,usr-0128,otomotif,atm,7,1933918.0,0.125,11845572.18,6.43,tinggi
ff480c63,usr-0077,olahraga,atm,10,512208.61,0.241,3885581.52,6.88,tinggi
517a38dd,usr-0088,kesehatan,mobile,2,134280.17,0.125,235074.48,4.7,menengah
2480f6eb,usr-0089,otomotif,web,11,2122970.15,0.096,21115604.43,9.88,tinggi
ea593218,usr-0032,kesehatan,web,12,268117.55,0.032,3114919.41,2.49,tinggi
8b20f24f,usr-0158,makanan,teller,8,42609.7,0.015,335702.57,9.46,menengah
a3db4d05,usr-0049,kesehatan,web,6,380054.19,0.28,1641548.02,7.24,tinggi
eae48688,usr-0024,fashion,teller,17,333407.56,0.264,4173167.1,5.02,tinggi
21c98962,usr-0127,kesehatan,teller,8,155679.16,0.106,1113581.08,0.6,tinggi
81948b9a,usr-0068,otomotif,teller,10,1473381.5,0.254,10989190.72,4.37,tinggi
303327ac,usr-0050,olahraga,atm,13,424453.01,0.12,4854779.69,5.75,tinggi
5cbd5a6c,usr-0160,makanan,atm,3,73293.6,0.135,190173.52,5.54,menengah
af252dfb,usr-0087,olahraga,mobile,5,881312.11,0.118,3885832.39,7.97,tinggi
e4094b64,usr-0012,otomotif,atm,5,798115.76,0.153,3381070.76,5.05,tinggi
e3ff445e,usr-0132,elektronik,web,11,1254957.32,0.156,11653787.24,1.57,tinggi
2a2966c2,usr-0077,fashion,atm,20,259265.02,0.118,4574024.05,6.2,tinggi
d74d8c95,usr-0077,otomotif,atm,17,2056578.77,0.16,29378365.28,7.12,tinggi
1b8d6d35,usr-0079,kesehatan,mobile,12,199214.85,0.033,2311972.67,4.22,tinggi
b99ad61e,usr-0199,olahraga,mobile,20,505942.66,0.29,7183159.29,7.85,tinggi
8caa42de,usr-0159,otomotif,web,2,1567046.55,0.051,2973772.9,6.33,tinggi
0812121a,usr-0005,kesehatan,web,8,86838.94,0.284,497092.82,1.19,menengah
d343c6f8,usr-0199,kesehatan,atm,14,131786.72,0.207,1462819.29,4.16,tinggi
fb8be4dd,usr-0170,otomotif,teller,2,1811550.46,0.156,3059328.44,5.65,tinggi
58da3444,usr-0140,kesehatan,teller,11,433757.06,0.138,4113366.06,5.38,tinggi
d5d3a9e5,usr-0077,makanan,atm,20,85522.51,0.287,1219206.86,2.86,tinggi
7a926139,usr-0123,fashion,atm,10,452450.47,0.207,3587606.57,4.94,tinggi
328c290b,usr-0102,makanan,atm,10,40234.26,0.203,320672.44,3.86,menengah
48488d99,usr-0114,makanan,web,10,30258.31,0.287,215864.57,0.88,menengah
07f4617f,usr-0144,olahraga,atm,16,310490.11,0.248,3733901.8,2.78,tinggi
c5be4315,usr-0013,olahraga,atm,5,231919.94,0.222,901858.6,2.47,menengah
2aa0337a,usr-0026,olahraga,web,8,189368.33,0.124,1327107.79,7.2,tinggi
02581f21,usr-0168,olahraga,web,1,873389.08,0.293,617160.12,1.66,menengah
7969d684,usr-0016,kesehatan,teller,7,358466.65,0.086,2293034.22,2.93,tinggi
2bde0ef1,usr-0045,elektronik,web,18,1173358.15,0.255,15732622.25,0.47,tinggi
43fe0eb3,usr-0192,kesehatan,web,2,448939.43,0.119,790942.94,5.0,menengah
c8668e7d,usr-0086,makanan,mobile,1,62299.03,0.181,51033.19,9.29,rendah
aaed7101,usr-0130,makanan,teller,18,90539.82,0.267,1194944.16,1.43,tinggi
7a57c9eb,usr-0166,kesehatan,atm,7,378305.2,0.099,2385427.45,7.34,tinggi
3e5f16e0,usr-0194,makanan,web,1,117077.24,0.237,89302.97,5.72,rendah
c5aea7e2,usr-0132,fashion,web,20,528073.25,0.269,7719239.31,8.29,tinggi
dbd1af4b,usr-0083,makanan,mobile,13,108656.98,0.055,1334237.47,1.49,tinggi
